SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCC[NH3])C=O,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666,-666,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,,,,,,,,,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666.0,-666.0,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCSC)C=O,12.406801723775931,-0.8278617509267765,12.406801723775931,0.18691129692617792,0.35787888598347795,374.5070000000001,344.26700000000005,374.19877643999996,144,0,0.24291568283915047,-0.3447685546654086,0.3447685546654086,0.24291568283915047,1.0,1.6,2.04,32.166363887191956,10.02063962084634,2.279392430005952,-2.2510850932892508,2.0488479084486597,-2.566620325958064,7.980984882553189,-0.13291417349922793,4.819137534510013,471.05106825778387,19.56854962182284,15.496906899019795,16.31340347994752,11.632335372934339,8.244698295941232,9.638545146058584,6.281866069998115,7.267464629651603,3.537408694483541,4.18135924534292,1.9151608789779755,2.404797033059204,-1.6099999999999997,139018.66704557347,23.389999999999997,11.859776113398429,8.872921701122312,152.9720584171558,26.478570473252997,18.369842181425476,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,11.761884949391115,0.0,13.847474399381248,38.19482485872685,0.0,12.083681658295921,19.178148736287287,35.769584660575184,0.0,15.950365812018994,11.651573523323577,58.283133738280355,12.008622790258194,0.0,0.0,0.0,21.684033289181176,0.0,0.0,11.761884949391115,60.18368581803411,19.178148736287287,5.917906046161393,34.11577042168851,0.0,0.0,0.0,0.0,130.39,41.88890250464636,19.178148736287287,0.0,5.917906046161393,12.706982146055566,5.752853606746789,13.847474399381248,25.609359348772365,6.255769183511404,15.950365812018994,5.733667477162185,0.0,1.5792504540069126,47.278502030214035,7.737561586107763,5.449491300284674,-0.815525039244722,-2.9561682121939237,3.1324768653408075,6.5944110154844555,0.0,0.75,25,5,8,0,0,0,0,0,0,6,4,9,11,0,0,0,0,-0.5840999999999963,99.01650000000005,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C=O,11.649330120937265,-0.7132407407407413,11.649330120937265,0.007207052574115913,0.5302990036207766,243.307,222.13899999999995,243.158291532,98,0,0.24237059281799694,-0.3445560179826805,0.3445560179826805,0.24237059281799694,1.0588235294117647,1.588235294117647,1.9411764705882353,16.159899422699667,10.0584924352178,2.210767359856698,-2.2006769316801282,1.9845606969521514,-2.5204003351500295,5.897994498119652,-0.12987997008738164,4.31138328915275,289.6862432093177,13.585421958697399,10.688846486529346,10.688846486529346,7.789800117833243,5.608052165997134,5.608052165997134,4.433422768306375,4.433422768306375,2.339379587961323,2.339379587961323,1.0574700021991594,1.0574700021991594,-1.43,3100.991098973723,15.57,7.0054751323093924,5.440784489402538,101.31285353615571,21.161781869246667,12.328001352277516,0.0,11.814359458703011,0.0,0.0,9.589074368143644,0.0,0.0,0.0,13.847474399381248,19.76538044554264,0.0,12.083681658295921,14.383611552215466,18.100519981832566,0.0,10.633577208012662,11.651573523323577,45.820471286206384,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,36.22604246927645,14.383611552215466,5.917906046161393,27.694948798762496,0.0,0.0,0.0,0.0,101.28999999999999,29.939881946146894,14.383611552215466,0.0,5.917906046161393,6.286160523129555,0.0,13.847474399381248,0.0,13.847474399381248,10.633577208012662,5.733667477162185,0.0,0.0,33.62351956832116,5.003209561602419,5.360102775678173,-0.7940429474258837,-1.9267882338120443,0.6831993260267071,6.71746661627614,0.0,0.7272727272727273,17,4,6,0,0,0,0,0,0,4,3,6,6,0,0,0,0,-0.8219999999999994,64.08680000000003,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C/C=C/C=C\C)C(=O)N.C.[HH].C1Cc2c[nH]c(C[C@H](CC)OCCNC1=O)c2,12.597906536071218,-0.9005794882359643,12.597906536071218,0.0,0.16669459016010577,649.878,590.4060000000002,649.452682608,262,0,0.24300340855105698,-0.37600003249784575,0.37600003249784575,0.24300340855105698,1.065217391304348,1.7608695652173914,2.347826086956522,16.486403287856973,1.0079966110215097,2.2915751429628215,-2.2542926618566246,2.1217239622348054,-2.5761105414729224,5.940454827437644,-0.13355546192209844,0.0,1168.0815856655074,33.94058234200952,27.48214097974377,27.48214097974377,21.28020241847518,15.566831254317632,15.566831254317632,11.390699451079957,11.390699451079957,7.007903775507882,7.007903775507882,4.219050475397296,4.219050475397296,-3.9699999999999998,2683934064.978284,42.03,22.5217826069099,16.371781986113152,275.1356941748525,42.45533084509695,18.12552248744388,0.0,29.535898646757527,0.0,0.0,23.97268592035911,0.0,0.0,0.0,52.501944802862624,57.5814010741699,32.703809282925754,18.75268918140918,30.136186938858778,29.535898646757527,0.0,26.25113293697253,17.385241000485763,111.34451379356919,13.151638370425493,47.82467055395566,0.0,0.0,32.73448937034969,0.0,0.0,0.0,77.94284524247038,41.55119212001118,5.917906046161393,80.9155583946221,36.56729106741021,0.0,0.0,0.0,210.52999999999997,47.796082233997865,23.97268592035911,0.0,33.20316462734207,19.572459993351504,19.26246486877803,25.104853885926705,32.07553471988289,19.19660087813758,39.24123720512477,16.20419790812442,5.744242252456538,0.0,62.91269757691774,10.495266724979304,13.220397947532817,-2.3741774746861672,-1.2902846816958067,12.784967491106109,11.673556830056121,0.0,0.6060606060606061,46,9,13,0,1,1,0,1,1,7,7,13,12,0,0,0,2,1.7685000000000075,182.42229999999952,0,0,0,0,0,1,1,0,0,0,5,5,0,0,0,0,5,2,0,0,0,1,0,0,0,0,3,5,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H]1C/C=C/NC(=C)C[C@H](CC)OC(=N)[C@@H](NC1=O)C/C=C/C=C\COCC.C.[HH],13.58695321059679,-1.0367810058728872,13.58695321059679,0.0,0.11006461021339548,649.8780000000002,590.4060000000002,649.4526826080001,262,0,0.24305881008073404,-0.47593014815961987,0.47593014815961987,0.24305881008073404,1.1521739130434783,1.826086956521739,2.4347826086956523,16.498228899698635,1.0079966101848732,2.3146979441392315,-2.2760248638198823,2.1306972807936253,-2.586909885684414,5.952946334184486,-0.13404629654506817,0.0,1109.0358697746997,33.94058234200953,27.48214097974377,27.48214097974377,21.297039170880787,15.50888405525812,15.50888405525812,11.22549372914648,11.22549372914648,6.851869043113604,6.851869043113604,4.079355492178135,4.079355492178135,-3.9699999999999998,2143050304.142832,42.03,22.5217826069099,15.848170335587492,275.79151640278604,41.79133640479394,30.271329704340143,0.0,29.526464261763635,0.0,0.0,24.58743234207881,0.0,0.0,0.0,65.156900593295,52.15153740383174,20.15138096519438,12.648722793660879,30.078512708587006,29.526464261763635,5.409283605791522,26.583943020031654,11.651573523323577,110.96553299979114,13.213763929025836,48.85603042064418,0.0,0.0,32.31761049719384,0.0,0.0,0.0,79.05339872427759,28.651874643887385,11.327189651952915,76.07900053100265,48.85603042064418,0.0,0.0,0.0,196.75999999999996,53.83792306314582,19.178148736287287,0.0,39.61455186527419,31.75244648793369,0.0,13.847474399381248,32.199469502869455,32.07553471988289,33.162878703630156,20.616676990553806,11.23342110999418,0.0,51.79325904551232,22.524919891541852,6.249013244884025,-2.628939426287152,-4.57658415618896,11.776973148116882,15.461270475760173,0.0,0.6060606060606061,46,8,13,0,1,1,0,0,0,9,7,13,14,0,0,0,1,2.553070000000006,183.65959999999953,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C=O,12.35490121357185,-0.8291512345679022,12.35490121357185,0.05628023214693534,0.41241518624033185,342.44000000000005,312.20000000000005,342.22670543999993,138,0,0.24292474141430667,-0.3445374139604502,0.3445374139604502,0.24292474141430667,0.7916666666666666,1.3333333333333333,1.7083333333333333,16.16426065789679,10.002850474924383,2.2858564889175437,-2.2599557785800544,2.0526296667568436,-2.5706431291750915,5.929155460101906,-0.13310456478883176,4.890491323967297,462.9937635307235,19.024579547452824,15.251795315372462,15.251795315372462,11.005014172996514,8.127560452131277,8.127560452131277,6.663698942201944,6.663698942201944,3.5862763338671315,3.5862763338671315,1.835475125013937,1.835475125013937,-1.9599999999999997,73541.72471422037,22.04,10.019543747011815,7.076957548382872,142.84894839179057,26.478570473252997,18.369842181425476,0.0,17.721539188054518,0.0,0.0,14.383611552215466,0.0,0.0,0.0,27.694948798762496,25.68328649170403,0.0,12.083681658295921,19.178148736287287,24.007699711184074,0.0,15.950365812018994,17.56947956948497,65.70978651473558,0.0,0.0,0.0,0.0,21.684033289181176,0.0,0.0,0.0,48.17506302777591,19.178148736287287,11.835812092322787,41.54242319814374,0.0,0.0,0.0,0.0,130.39,41.88890250464636,19.178148736287287,0.0,11.835812092322787,6.286160523129555,0.0,13.847474399381248,13.847474399381248,13.847474399381248,15.950365812018994,5.733667477162185,0.0,0.0,47.113174807613774,7.696640421600739,5.439581136679455,-1.6315649440446527,-2.992988485530425,0.6738681353318798,10.201288928349229,0.0,0.75,24,5,8,0,0,0,0,0,0,5,4,8,9,0,0,0,0,-0.6811999999999963,90.85550000000005,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C=O,12.31223311045416,-1.2233997062374595,12.31223311045416,0.11416454797407183,0.18348938419525657,402.40400000000017,376.19600000000014,402.17506379199995,158,0,0.30293567267272464,-0.48122927102723223,0.48122927102723223,0.30293567267272464,0.8571428571428571,1.3928571428571428,1.8571428571428572,16.368395595947902,10.09313853065867,2.2633792442728087,-2.220626284588351,2.0097692715442292,-2.552116456663359,5.930975311836508,-0.13830462076473235,4.8850130150300775,607.4516685042867,21.85300667219901,15.636445673667042,15.636445673667042,12.9713406681853,8.530557956784204,8.530557956784204,6.196117032487126,6.196117032487126,3.6065973947133427,3.6065973947133427,1.9802521579906394,1.9802521579906394,-3.02,504719.8120237881,24.98,12.382043021729107,10.207140619615839,160.76046009627015,36.69162526293441,18.369842181425476,0.0,17.721539188054518,0.0,11.938610575903699,23.97268592035911,0.0,0.0,0.0,0.0,26.689117645233267,12.841643245852019,12.083681658295921,38.98027789411234,35.94631028708777,0.0,15.950365812018994,5.733667477162185,63.69812420767714,0.0,0.0,0.0,0.0,21.684033289181176,0.0,0.0,0.0,70.32672839336101,28.76722310443093,0.0,39.53076089108529,0.0,0.0,0.0,0.0,204.98999999999998,60.24833470347606,28.76722310443093,0.0,19.26246486877803,6.286160523129555,0.0,13.847474399381248,0.0,0.0,15.950365812018994,15.946722266843596,0.0,0.0,68.29072854164804,24.28358436673951,5.410639311958478,-4.519209586964991,-4.314793181330014,-0.6808912308304929,2.6966084454461354,0.0,0.625,28,7,12,0,0,0,0,0,0,7,6,12,13,0,0,0,0,-2.263599999999995,94.91910000000004,2,0,0,0,0,0,0,0,2,2,6,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](C)C=O,11.764691987906275,-1.086776161081717,11.764691987906275,0.07817082388510954,0.39222488162078634,273.289,254.13699999999994,273.132470708,108,0,0.30293567267263166,-0.48122926245046993,0.48122926245046993,0.30293567267263166,1.2105263157894737,1.7894736842105263,2.210526315789474,16.365266984350093,10.101445046508085,2.2335333982483547,-2.194815514508685,1.9928298611966762,-2.522050238847684,5.903486829546333,-0.13773048017508333,4.639756915420406,356.2398201788407,14.999635521070495,10.881171665676636,10.881171665676636,8.772963365427637,5.8095509183235965,5.8095509183235965,4.2156092430740895,4.2156092430740895,2.267475039644296,2.267475039644296,1.1987957327248102,1.1987957327248102,-1.9599999999999997,8165.513087723953,17.04,8.196124853619395,7.1424483511399615,110.26860938839552,26.268309264087375,12.328001352277516,0.0,11.814359458703011,0.0,5.969305287951849,14.383611552215466,0.0,0.0,0.0,0.0,20.268296022307258,6.4208216229260096,12.083681658295921,24.28467613112799,24.069825269784417,0.0,10.633577208012662,5.733667477162185,44.814640132677155,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,47.301875152068995,19.178148736287287,0.0,26.689117645233267,0.0,0.0,0.0,0.0,138.59,35.90918723409874,19.178148736287287,0.0,12.841643245852019,6.286160523129555,0.0,13.847474399381248,0.0,0.0,10.633577208012662,10.84019487200289,0.0,0.0,44.13167902809273,13.278243417737464,5.351511558327035,-2.268123477786176,-2.562358696565047,0.16421335663895187,2.9048348135550515,0.0,0.6363636363636364,19,5,8,0,0,0,0,0,0,5,4,8,8,0,0,0,0,-1.6131999999999982,66.11860000000001,1,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCC[NH3])C(=O)N[C@@H](CC(C)C)C=O,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666,-666,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,,,,,,,,,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666.0,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666.0,-666.0,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666,-666
N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C=O,12.061938303099017,-1.1834462396069545,12.061938303099017,0.11362898400100785,0.27619621108024656,331.32500000000005,310.15700000000004,331.137950012,130,0,0.30293567267264343,-0.48122927102723223,0.48122927102723223,0.30293567267264343,1.0,1.5217391304347827,1.9565217391304348,16.368323609841077,10.083315701854922,2.2471195743196075,-2.20680548441716,2.016422965605714,-2.5269606501804533,5.905125425852942,-0.1388936901718329,4.800654757154847,464.4845002103262,17.991199352633217,12.650847114013553,12.650847114013553,10.66681021554499,6.921733273173018,6.921733273173018,4.965840858591556,4.965840858591556,2.854549099092273,2.854549099092273,1.5763166359685297,1.5763166359685297,-2.4899999999999998,52377.3818698297,20.51,10.271862320692374,9.191970975171957,131.95424946942853,31.374836658928082,12.328001352277516,0.0,11.814359458703011,0.0,11.938610575903699,19.178148736287287,0.0,0.0,0.0,0.0,19.765380445542643,12.841643245852019,12.083681658295921,34.18574071004052,30.039130557736268,0.0,10.633577208012662,5.733667477162185,50.73254617883855,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,58.377707834861546,23.97268592035911,0.0,32.60702369139466,0.0,0.0,0.0,0.0,175.89,41.878492522050585,23.97268592035911,0.0,25.683286491704038,6.286160523129555,0.0,6.923737199690624,0.0,0.0,10.633577208012662,15.946722266843596,0.0,0.0,55.57068313390554,21.797731394937834,5.367245922167459,-3.7074883758217085,-3.1259124613395013,-0.627039976484421,1.3914470293014665,0.0,0.6153846153846154,23,6,10,0,0,0,0,0,0,6,5,10,11,0,0,0,0,-1.7682999999999967,77.31440000000003,2,0,0,0,0,0,0,0,2,2,5,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC=O,11.554275321239608,-1.084969188292601,11.554275321239608,0.0709486016628873,0.37169237816578776,259.262,242.12599999999995,259.11682064400003,102,0,0.30293567266770727,-0.48122926245047615,0.48122926245047615,0.30293567266770727,1.3333333333333333,1.9444444444444444,2.388888888888889,16.365263824425718,10.108645061680544,2.220304050673073,-2.1778195406758596,1.9843423252517856,-2.5079814696719893,5.899614380989451,-0.13765856899929477,4.491907855318322,329.4748411004877,14.129392033067417,10.010928177673557,10.010928177673557,8.379116515310285,5.371993862262961,5.371993862262961,3.694081284889151,3.694081284889151,2.0530473575633805,2.0530473575633805,1.1052494167395046,1.1052494167395046,-1.9599999999999997,5558.973140908388,16.039999999999996,8.17801991384789,6.585494668455616,103.90366727399892,26.268309264087375,12.328001352277516,0.0,11.814359458703011,0.0,5.969305287951849,14.383611552215466,0.0,0.0,0.0,0.0,13.344558822616634,6.4208216229260096,12.586597235060536,24.28467613112799,24.069825269784417,0.0,10.633577208012662,5.733667477162185,31.849062103838566,6.544756405912575,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,47.80479072883361,19.178148736287287,0.0,19.765380445542643,0.0,0.0,0.0,0.0,138.59,29.86734640495078,19.178148736287287,0.0,19.386399651764595,6.286160523129555,0.0,6.923737199690624,0.0,0.0,10.633577208012662,10.84019487200289,0.0,0.0,43.444384920634924,13.10847875724364,5.324216033635676,-2.261828598723439,-1.8233805219618722,0.1353433641975308,1.2394527116402114,0.0,0.6,18,5,8,0,0,0,0,0,0,5,4,8,8,0,0,0,0,-2.001699999999997,61.523600000000016,1,0,0,0,0,0,0,0,1,1,4,3,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(C)C)C=O,12.773067077139498,-1.1560295676912749,12.773067077139498,0.15398425998804788,0.24153760544460667,428.5300000000002,392.2420000000002,428.263484872,172,0,0.30293567267274674,-0.48122926245046976,0.48122926245046976,0.30293567267274674,0.9666666666666667,1.5666666666666667,2.0,16.365315952080966,9.961593098921606,2.3107184764557833,-2.2760613418214093,2.1092907975627098,-2.5772943396549777,5.933959570413311,-0.13820557553576374,5.420236347334043,608.1041116528552,23.430356941388638,18.435684326082473,18.435684326082473,13.920029073169045,10.260910857035878,10.260910857035878,8.034767703982112,8.034767703982112,4.703896464643953,4.703896464643953,2.724440961513878,2.724440961513878,-2.4899999999999998,1264247.794068237,27.510000000000005,13.681360933625104,10.333561865412346,177.2644727016168,31.585097868093705,18.369842181425476,0.0,17.721539188054518,0.0,5.969305287951849,19.178148736287287,0.0,0.0,0.0,34.11577042168851,31.60119253786543,6.4208216229260096,12.083681658295921,29.079213315199812,29.97700499913592,0.0,15.950365812018994,17.56947956948497,84.469335806749,0.0,0.0,0.0,0.0,21.684033289181176,0.0,0.0,0.0,59.25089571056846,23.97268592035911,11.835812092322787,60.301972490157155,0.0,0.0,0.0,0.0,167.69,47.8582077925982,23.97268592035911,0.0,24.677455338174802,19.127803768981575,0.0,6.923737199690624,6.923737199690624,20.771211599071872,15.950365812018994,10.84019487200289,0.0,0.0,59.64589936093305,16.58612742710093,5.512110507129862,-2.9969094181573013,-3.6686476372494212,1.1867089411777356,8.90137748573181,0.0,0.75,30,6,10,0,0,0,0,0,0,6,5,10,14,0,0,0,0,-0.05609999999999693,111.28530000000006,1,0,0,0,0,0,0,0,1,1,5,4,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
